kernel,problem_size,block_size,baseline_ms,candidate_ms,speedup,change_pct,status,baseline_cv,candidate_cv,noisy,protocol_changed
gemm_naive,256,16,0.021777066666666664,0.0138496,1.572396796056685,-36.40282131661441,improvement,0.02696653688728098,0.026588906182776612,False,False
gemm_naive,512,16,0.10369706666666667,0.0605568,1.7123934333826534,-41.60220539828835,improvement,0.008430709990036643,0.009084890252775058,False,False
gemm_tiled,256,16,0.0178176,0.011837866666666667,1.5051360605514505,-33.56082375478927,improvement,0.03511552256671144,0.03938955530490521,False,False
gemm_tiled,512,16,0.06990506666666667,0.042254933333333335,1.6543646185691927,-39.5538330078125,improvement,0.006477782793662872,0.010114591381342875,False,False
reduction,1048576,128,0.013824,0.010541866666666667,1.3113427097035313,-23.74228395061728,improvement,0.07590333900710816,0.020145753025052157,False,False
reduction,1048576,256,0.0136192,0.0096256,1.4148936170212767,-29.323308270676694,improvement,0.039548205107918566,0.03468085786233235,False,False
reduction,4194304,128,0.035805866666666665,0.025425066666666666,1.408289981540527,-28.99189704480457,improvement,0.015635099587089352,0.024901494362486492,False,False
reduction,4194304,256,0.035225599999999996,0.022027733333333334,1.5991477410294899,-37.466690891472865,improvement,0.016098108261469114,0.010925874217775203,False,False
vector_add,1048576,128,0.011707733333333333,0.009963733333333334,1.1750347928487312,-14.896137026239064,improvement,0.048871879341808214,0.024367402263243895,False,False
vector_add,1048576,256,0.009045333333333334,0.0074624,1.2121212121212122,-17.500000000000004,improvement,0.20056878891952168,0.038184735923022094,True,False
vector_add,4194304,128,0.03792213333333334,0.025179733333333332,1.506057781919851,-33.60148514851487,improvement,0.043251174713713654,0.009989197839014755,False,False
vector_add,4194304,256,0.037853866666666666,0.0232608,1.6273673591048745,-38.55105951307484,improvement,0.030830155089772344,0.013638920523542814,False,False
