kernel,problem_size,block_size,baseline_ms,candidate_ms,speedup,change_pct,status,baseline_cv,candidate_cv,noisy,protocol_changed
gemm_naive,128,16,0.008768,0.008736,1.0036630036630036,-0.36496350364962904,within_threshold,0.039431211189602286,0.02723926971749764,False,False
gemm_naive,256,16,0.013536,0.013583999999999999,0.9964664310954064,0.35460992907800915,within_threshold,0.05264790340626401,0.02022778834332521,False,False
gemm_naive,512,16,0.060208,0.060303999999999996,0.998408065799947,0.1594472495349386,within_threshold,0.004726160337499752,0.006707810689824923,False,False
gemm_naive,1024,16,0.41788800000000004,0.41744000000000003,1.0010732081257188,-0.10720575848074398,within_threshold,0.003262703328290657,0.0032210587077815315,False,False
gemm_naive,2048,16,3.152816,3.176848,0.9924352691724627,0.7622392172584869,within_threshold,0.004682162121448188,0.0004485899331082254,False,False
gemm_tiled,128,16,0.007632,0.007568,1.0084566596194502,-0.8385744234800763,within_threshold,0.03687643229887501,0.03423363001130065,False,False
gemm_tiled,256,16,0.011552,0.0116,0.9958620689655173,0.41551246537394615,within_threshold,0.02212095694095566,0.02511150134601271,False,False
gemm_tiled,512,16,0.041808,0.042032,0.9946707270650932,0.5357826253348685,within_threshold,0.006911251025644824,0.006537615865903027,False,False
gemm_tiled,1024,16,0.276832,0.279024,0.9921440449567064,0.7918159750317733,within_threshold,0.0013000583463324412,0.0014760224795091698,False,False
gemm_tiled,2048,16,2.09016,2.105776,0.9925842064872996,0.7471198377157817,within_threshold,0.0003182761132489775,0.0003075943437865178,False,False
memcpy_bandwidth,1048576,64,0.014752,0.014704,1.0032644178454841,-0.32537960954446277,within_threshold,0.016199386576596395,0.020455995217659347,False,False
memcpy_bandwidth,1048576,128,0.009824,0.009824,1.0,0.0,within_threshold,0.028212983257120443,0.027889525113117417,False,False
memcpy_bandwidth,1048576,256,0.007328,0.007408,0.9892008639308856,1.091703056768556,within_threshold,0.031745808807466205,0.03751548116192668,False,False
memcpy_bandwidth,1048576,512,0.006656,0.006592,1.0097087378640777,-0.9615384615384581,within_threshold,0.03666859966314035,0.0486718328316573,False,False
memcpy_bandwidth,4194304,64,0.044416,0.044352,1.0014430014430014,-0.14409221902016434,within_threshold,0.005382917872405259,0.006043194214243397,False,False
memcpy_bandwidth,4194304,128,0.024672,0.024704,0.9987046632124352,0.12970168612191912,within_threshold,0.009717981623935055,0.02431120754399146,False,False
memcpy_bandwidth,4194304,256,0.015024,0.014976,1.0032051282051282,-0.31948881789136685,within_threshold,0.014710565141964088,0.023222866696370456,False,False
memcpy_bandwidth,4194304,512,0.013712,0.013792,0.994199535962877,0.5834305717619559,within_threshold,0.016164552358508777,0.016312278571718283,False,False
memcpy_bandwidth,16777216,64,0.162752,0.162592,1.0009840582562488,-0.09830908375935143,within_threshold,0.002635554508721269,0.0013062054018265201,False,False
memcpy_bandwidth,16777216,128,0.08408,0.08411199999999999,0.9996195548792088,0.03805899143671798,within_threshold,0.0030253566290942857,0.003370134018490046,False,False
memcpy_bandwidth,16777216,256,0.060576000000000005,0.060544,1.0005285412262157,-0.05282620179609676,within_threshold,0.007889345441727974,0.009725079137494595,False,False
memcpy_bandwidth,16777216,512,0.064928,0.064848,1.001233654083395,-0.12321340561852745,within_threshold,0.006211744582263814,0.008041319046134133,False,False
memcpy_bandwidth,67108864,64,0.635168,0.635216,0.9999244351527669,0.007557055771090226,within_threshold,0.0003766554680125996,0.000338360983754721,False,False
memcpy_bandwidth,67108864,128,0.320832,0.320896,0.9998005584363782,0.019948134849401278,within_threshold,0.0008146596205812313,0.0011578666554490898,False,False
memcpy_bandwidth,67108864,256,0.2256,0.225312,1.0012782275244994,-0.1276595744680753,within_threshold,0.0021368932411501293,0.0017643195445935325,False,False
memcpy_bandwidth,67108864,512,0.243312,0.242576,1.0030341006529913,-0.30249227329518513,within_threshold,0.0022223700445099218,0.002356825587901896,False,False
reduction,1048576,64,0.015312,0.015424,0.9927385892116182,0.7314524555903867,within_threshold,0.03502218396272736,0.0435463867667955,False,False
reduction,1048576,128,0.010496,0.010528,0.9969604863221886,0.304878048780477,within_threshold,0.02449904020727959,0.02310279152561819,False,False
reduction,1048576,256,0.009472,0.009472,1.0,0.0,within_threshold,0.06534093165229109,0.026417135309172193,False,False
reduction,1048576,512,0.01008,0.010064,1.001589825119237,-0.15873015873015817,within_threshold,0.023481206083319286,0.07741788859682926,False,False
reduction,4194304,64,0.044896,0.044864,1.0007132667617689,-0.07127583749108046,within_threshold,0.006380225183811702,0.006181744898645315,False,False
reduction,4194304,128,0.02536,0.025312,1.0018963337547409,-0.18927444794952786,within_threshold,0.010194723150882878,0.010266806002318647,False,False
reduction,4194304,256,0.02192,0.021888,1.0014619883040934,-0.14598540145984717,within_threshold,0.010187294357480106,0.011989025657282479,False,False
reduction,4194304,512,0.024,0.023984,1.0006671114076051,-0.06666666666667043,within_threshold,0.01127446932897862,0.025155186368777362,False,False
reduction,16777216,64,0.163168,0.163072,1.0005886970172686,-0.05883506569916985,within_threshold,0.0011593910470180785,0.0017898774809675712,False,False
reduction,16777216,128,0.084736,0.084544,1.0022710068130205,-0.22658610271905077,within_threshold,0.0025259307561912737,0.0031992338113111065,False,False
reduction,16777216,256,0.081312,0.081216,1.0011820330969268,-0.11806375442738881,within_threshold,0.0034741433238429206,0.0037243816648571825,False,False
reduction,16777216,512,0.091968,0.091888,1.0008706251088282,-0.08698677800973442,within_threshold,0.0024570223166285998,0.002502595866661367,False,False
reduction,67108864,64,0.636288,0.636352,0.9998994267323744,0.01005833836251746,within_threshold,0.000314793070208426,0.0003429578869225254,False,False
reduction,67108864,128,0.321472,0.321376,1.00029871552325,-0.029862631893284863,within_threshold,0.0007914582198061652,0.0006816359815476133,False,False
reduction,67108864,256,0.307936,0.307904,1.0001039284971938,-0.010391769718376409,within_threshold,0.0010109197230627192,0.0009769149674322588,False,False
reduction,67108864,512,0.350112,0.349984,1.0003657310048457,-0.03655972945798558,within_threshold,0.000852842930745312,0.0011832276942465361,False,False
stencil_1d,1048576,64,0.014816,0.014832,0.9989212513484358,0.1079913606911509,within_threshold,0.040868092495379,0.019320374576803113,False,False
stencil_1d,1048576,128,0.009888,0.009888,1.0,0.0,within_threshold,0.025821475398858103,0.02638074039456594,False,False
stencil_1d,1048576,256,0.007456,0.007488,0.9957264957264957,0.42918454935623185,within_threshold,0.036809741191436283,0.03372646168159362,False,False
